"cluster","cell_type","marker_genes","notes"
0,"Excitatory neuron (glutamatergic)","Slc17a7, Grm2, Grin2b, Chrm1","Strong Slc17a7 expression; glutamatergic neuronal profile"
1,"GABAergic / inhibitory neuron","Slc32a1, Gpr101, Dlk1, Chrm5, Galr1","Neuronal cluster with Slc32a1 expression and a distinctive receptor/neuropeptide-rich profile; precise subtype remains provisional"
2,"Oligodendrocyte-lineage cell","S1pr5, Erbb3, Gjc3, Olig1","Strong oligodendrocyte-lineage signature with Olig1, Sox8, Erbb3, S1pr5 and Gjc3"
3,"Excitatory neuron (glutamatergic)","Slc17a7, Baiap2, Chrm1, Celsr2","Strong Slc17a7 expression with glutamatergic neuronal markers"
4,"Astrocyte","Aqp4, Aldh1l1, Gfap, Sox9","Strong astrocytic signature including Aqp4, Aldh1l1, Gfap and Sox9"
5,"Endothelial cell","Cldn5, Flt1, Kdr, Tek","Strong endothelial signature including Cldn5, Flt1, Kdr, Tek, Emcn and Tie1"
6,"Excitatory neuron (glutamatergic)","Slc17a6, Grm4, Grm1, Ret","Strong Slc17a6 expression with glutamatergic receptor and neuronal markers"
7,"GABAergic / inhibitory neuron","Gad1, Slc32a1, Erbb4, Cnr1","Strong Gad1 and Slc32a1 expression with Erbb4 and Cnr1, supporting an inhibitory neuronal identity"
8,"Oligodendrocyte precursor cell (OPC)","Gpr17, Pdgfra, Olig1, Sox8","Strong Gpr17, Pdgfra, Olig1 and Sox8 signature consistent with oligodendrocyte precursor cells"
9,"Striatal-like inhibitory neuron","Adora2a, Drd2, Gpr88, Drd1","Dopamine-receptor-rich inhibitory neuronal profile with Adora2a, Drd2, Gpr88 and Drd1; D1/D2 subtype remains unresolved"
10,"Microglia","Cx3cr1, P2ry12, Csf1r, C1qa","Strong microglial signature including Cx3cr1, P2ry12, Csf1r, C1qa and C1qb"
11,"Vascular mural cell / pericyte","Abcc9, Kcnj8, Pdgfrb, Myh11","Strong Abcc9/Kcnj8/Pdgfrb profile supports a vascular mural cell/pericyte identity; Myh11 suggests smooth-muscle-like characteristics"
12,"Astrocyte","Aqp4, Gfap, Sox9, Aldh1l1","Strong astrocytic profile with Aqp4, Gfap, Sox9 and Aldh1l1 expression"
13,"Vascular smooth muscle cell","Lmod1, Myh11, Hcar1, Pln","Strong contractile smooth-muscle profile dominated by Lmod1 and Myh11; vascular-associated genes are also present"
14,"Cholinergic neuron","Chat, Gpr151, Htr5b, Tacr1","Strong Chat expression supports a cholinergic neuronal identity; Gpr151 and Htr5b suggest a specialized neuronal subtype"
15,"Oligodendrocyte-lineage / vascular-associated mixed cluster","S1pr5, Erbb3, Gjc3, Olig1","Oligodendrocyte-lineage markers including S1pr5, Erbb3, Gjc3 and Olig1 are present alongside vascular-associated markers; identity remains provisional"
16,"GABAergic / inhibitory neuron","Cckar, Gad1, Slc32a1, Pln, Ret","Strong Gad1, Slc32a1 and Erbb4 expression supports a GABAergic/inhibitory neuronal identity; Cckar and Pln indicate a specialized neuronal subtype, but precise subtype remains unresolved"
17,"Excitatory neuron (glutamatergic)","Slc17a7, Htr5b, Grin2b, Chrm1, Grm5","Strong Slc17a7 expression supports a glutamatergic neuronal identity; Htr5b, Gpr161, Drd5 and serotonin/dopamine receptor enrichment suggest a specialized neuronal subtype, but precise subtype remains unresolved"
18,"Neuronal subtype","Crhr2, F2rl3, Htr2c, Fzd4, Mc3r","Strong receptor-rich signature dominated by Crhr2, F2rl3 and Htr2c; precise neuronal subtype remains unresolved from the current marker profile"
19,"Oligodendrocyte-lineage cell","Gjc3, Olig1, S1pr5, Erbb3, Sox8","Strong oligodendrocyte-lineage signature with Gjc3, Olig1, S1pr5, Erbb3 and Sox8; Myh11 suggests some vascular-associated signal, so precise subtype remains provisional"
