"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.99969050547682,0.935,0.37,0,"0","Chrm1"
0,1.79895837610969,0.995,0.51,0,"0","Slc17a7"
0,1.42874382495122,0.965,0.488,0,"0","Baiap2"
0,2.02092605932335,0.783,0.322,0,"0","Anxa11"
0,1.6723338014146,0.693,0.278,0,"0","Gpr26"
0,2.58347068164896,0.518,0.112,0,"0","Adra1d"
0,1.59006574536733,0.739,0.343,0,"0","Chrm3"
0,2.20005073243227,0.554,0.161,0,"0","Crhr1"
0,1.78565698099668,0.726,0.34,0,"0","Gpr22"
0,1.57472395363757,0.795,0.411,0,"0","Epha6"
0,1.56403277489941,0.857,0.478,0,"0","Gpr158"
0,1.1354367745105,0.93,0.558,0,"0","Grm5"
0,1.3552694517282,0.942,0.57,0,"0","Grin2b"
0,2.05231540598847,0.587,0.219,0,"0","Grm2"
0,1.66793895183537,0.768,0.413,0,"0","Epha7"
0,0.807258723929329,0.94,0.588,0,"0","Syt4"
0,1.02865936671805,0.841,0.508,0,"0","Ephb6"
0,1.69160210388919,0.95,0.621,0,"0","Epha4"
0,1.01215784093942,0.785,0.461,0,"0","Ackr1"
0,1.15918917843609,0.901,0.582,0,"0","Ntrk3"
0,2.8013336484227,0.403,0.097,0,"0","Mas1"
0,0.691304175491712,0.956,0.65,0,"0","Gabbr2"
0,1.2608061890971,0.716,0.417,0,"0","Adrb1"
0,0.954521436851664,0.98,0.685,0,"0","Cx3cl1"
0,1.01380858063048,0.879,0.585,0,"0","Grm7"
0,1.57600985235918,0.545,0.259,0,"0","Epha10"
0,1.44246209292249,0.932,0.654,0,"0","Lmtk2"
0,0.844775521829661,0.674,0.414,0,"0","Gpr85"
0,1.20596256711365,0.431,0.171,0,"0","Chrm4"
0,1.65513784944458,0.388,0.134,0,"0","Rspo3"
0,1.56721955962685,0.422,0.169,0,"0","Cckbr"
0,0.740580609741563,0.93,0.684,0,"0","Celsr2"
0,1.04695108976211,0.858,0.614,0,"0","Fzd3"
0,1.74850607302474,0.367,0.126,0,"0","Npy1r"
0,0.762847745916647,0.859,0.619,0,"0","Adgrb3"
0,1.13009769559816,0.428,0.189,0,"0","Ephb3"
0,0.896907453968175,0.567,0.336,0,"0","Gpr61"
0,0.470140007369524,0.784,0.554,0,"0","Tyro3"
0,0.58757829380184,0.906,0.678,0,"0","Adgrb1"
0,0.450000034659396,0.833,0.605,0,"0","Gpr162"
0,1.02734852100741,0.729,0.512,0,"0","Adgrl2"
0,0.42335235273459,0.6,0.383,0,"0","Grm1"
0,0.537811003929464,0.569,0.357,0,"0","Tmem108"
0,0.583540252180025,0.931,0.723,0,"0","Adgrl1"
0,0.607017723258912,0.746,0.538,0,"0","Adgrl3"
0,0.748946841926253,0.527,0.325,0,"0","Gpr75"
0,1.11336477047689,0.41,0.209,0,"0","Epha5"
0,0.811432102509012,0.774,0.574,0,"0","Adora1"
0,1.13762343182522,0.378,0.183,0,"0","Sstr3"
0,1.19255933290921,0.379,0.2,0,"0","Htr5a"
0,0.948332535969232,0.415,0.244,0,"0","Hrh2"
0,0.483796473820493,0.309,0.142,0,"0","Gpr83"
0,0.727601116258674,0.448,0.281,0,"0","Ephb2"
0,0.409496575091056,0.55,0.387,0,"0","Gpr27"
0,0.967298339986796,0.305,0.143,0,"0","Htr7"
0,0.818462358785807,0.395,0.244,0,"0","Celsr3"
0,0.764742647888876,0.362,0.221,0,"0","Gpr135"
0,0.634328430883263,0.397,0.266,0,"0","Sstr4"
0,1.11029651541572,0.308,0.18,0,"0","Epha3"
0,0.665270272525281,0.282,0.166,0,"0","Flt3"
0,0.884942636355161,0.257,0.146,0,"0","Mchr1"
0,0.6713855313885,0.337,0.226,0,"0","Gpr63"
0,0.290650577946458,0.424,0.315,0,"0","Gpr21"
0,0.463829578548189,0.293,0.187,0,"0","Nrp2"
0,0.362319435183326,0.29,0.217,0,"0","Gpr173"
0,3.62850973325868,0.723,0.24,0,"1","Peg10"
0,5.04636362639808,0.452,0.03,0,"1","Gpr101"
0,2.3952235409367,0.551,0.164,0,"1","Slc32a1"
0,2.40453709496308,0.474,0.09,0,"1","Oprk1"
0,4.87149960724835,0.493,0.11,0,"1","Dlk1"
0,1.19281730564454,0.844,0.469,0,"1","Ackr1"
0,1.36951888825523,0.97,0.601,0,"1","Syt4"
0,0.681327687357112,0.77,0.407,0,"1","Adgrg1"
0,2.03547534201098,0.494,0.131,0,"1","Oprm1"
0,0.682840847164955,0.813,0.451,0,"1","Adgra1"
0,2.20978503647788,0.504,0.146,0,"1","Amigo2"
0,4.83391607412172,0.378,0.022,0,"1","Chrm5"
0,1.34289577158476,0.646,0.291,0,"1","Gad1"
0,1.77251435751162,0.468,0.122,0,"1","Htr2c"
0,0.920914560707025,0.916,0.576,0,"1","Grm5"
0,1.18186389155111,0.754,0.416,0,"1","Gpr85"
0,0.868994518265205,0.929,0.593,0,"1","Ntrk3"
0,1.29588889803075,0.709,0.376,0,"1","Gpr27"
0,1.62928516404828,0.501,0.168,0,"1","Nrp2"
0,1.92178564266429,0.473,0.147,0,"1","Alk"
0,0.711232822882866,0.704,0.381,0,"1","Grm1"
0,1.15018908903736,0.909,0.589,0,"1","Adcyap1r1"
0,1.95829283206683,0.479,0.164,0,"1","Gpr45"
0,1.34271395356309,0.584,0.272,0,"1","Ephb2"
0,1.71394273529692,0.548,0.237,0,"1","Slc17a6"
0,0.295424214788058,0.898,0.592,0,"1","Grin2b"
0,1.41951383836239,0.506,0.201,0,"1","Gpr176"
0,0.66130155442286,0.676,0.372,0,"1","Hrh3"
0,1.69370244852024,0.414,0.112,0,"1","Htr4"
0,1.0542129180836,0.837,0.537,0,"1","Adgrl3"
0,1.11691281562082,0.637,0.339,0,"1","Gpr61"
0,1.48770545827048,0.44,0.145,0,"1","Gpr161"
0,0.960581471142524,0.56,0.266,0,"1","Gpr153"
0,0.357659157102182,0.795,0.503,0,"1","Gpr158"
0,2.16574179128636,0.399,0.113,0,"1","Htr1b"
0,1.38972906927771,0.52,0.236,0,"1","Celsr3"
0,1.13479043076337,0.663,0.382,0,"1","Cnr1"
0,1.1441908504326,0.605,0.325,0,"1","Gpr75"
0,1.50803296158579,0.491,0.213,0,"1","Gpr135"
0,0.734133128615801,0.532,0.257,0,"1","Pcdh15"
0,4.29454818846918,0.294,0.019,0,"1","Dgkk"
0,0.258640816931925,0.972,0.7,0,"1","Cx3cl1"
0,0.73678726445246,0.786,0.515,0,"1","Adgrl2"
0,1.29040346081193,0.461,0.19,0,"1","Adra1a"
0,0.73781557091813,0.89,0.621,0,"1","Fzd3"
0,2.02444268700019,0.37,0.101,0,"1","Mrgpre"
0,0.718203469316267,0.877,0.61,0,"1","Gpr162"
0,0.502454620200994,0.705,0.44,0,"1","Epha6"
0,0.918470105936603,0.428,0.165,0,"1","Sstr2"
0,2.73493874121814,0.324,0.07,0,"1","Npy2r"
0,3.30386564222833,0.289,0.036,0,"1","Trhr"
0,0.648318341620926,0.945,0.693,0,"1","Celsr2"
0,0.637114732999116,0.877,0.627,0,"1","Adgrb3"
0,0.651190056551651,0.85,0.602,0,"1","Grm7"
0,4.71675836530109,0.263,0.017,0,"1","Galr1"
0,0.942760248585855,0.521,0.275,0,"1","Epha10"
0,0.41491758439691,0.605,0.362,0,"1","Tmem108"
0,1.87378966442494,0.389,0.148,0,"1","Sstr1"
0,2.96478403002624,0.29,0.051,0,"1","Tacr1"
0,1.22842296666881,0.434,0.215,0,"1","Epha5"
0,0.575569904199986,0.947,0.731,0,"1","Adgrl1"
0,1.58953634949196,0.358,0.144,0,"1","Htr7"
0,0.419461443993141,0.892,0.69,0,"1","Adgrb1"
0,0.371989521974833,0.553,0.361,0,"1","Erbb4"
0,1.64476555131796,0.273,0.081,0,"1","P2ry1"
0,0.686556662095883,0.317,0.13,0,"1","F2r"
0,1.16320643939354,0.379,0.192,0,"1","Sstr3"
0,0.94801510908191,0.394,0.208,0,"1","Gpr173"
0,0.985629264929309,0.386,0.208,0,"1","Htr5a"
0,0.323073485833246,0.985,0.808,0,"1","Cspg5"
0,1.04763552047626,0.419,0.25,0,"1","Adra2a"
0,1.41197647243606,0.301,0.133,0,"1","Chrm2"
0,0.391903029916556,0.266,0.099,0,"1","Drd2"
0,0.375462003733007,0.527,0.361,0,"1","Gpr52"
0,1.46508823036512,0.263,0.098,0,"1","Ret"
0,1.13151219566142,0.308,0.145,0,"1","Hrh1"
0,1.31233409652979,0.267,0.11,0,"1","Kiss1r"
0,0.441848233071398,0.465,0.315,0,"1","Gpr21"
0,0.811441482056399,0.313,0.167,0,"1","Flt3"
0,1.0303773913835,0.284,0.153,0,"1","Gpr83"
0,0.506068970079289,0.379,0.256,0,"1","Hrh2"
0,0.86112552341609,0.257,0.151,0,"1","Mchr1"
0,0.484434268493371,0.295,0.21,0,"1","Crhr1"
0,0.526629564279558,0.996,0.94,0,"1","Gabbr1"
0,3.93451449795192,0.997,0.238,0,"2","Gjc3"
0,4.24574153827495,0.843,0.086,0,"2","S1pr5"
0,4.08544774104642,0.847,0.099,0,"2","Erbb3"
0,3.86350674224724,0.799,0.102,0,"2","Plxnb3"
0,3.91302575469592,0.847,0.168,0,"2","Gpr62"
0,3.40256555679635,0.903,0.232,0,"2","Fgfr2"
0,3.56161697006874,0.829,0.16,0,"2","Lpar1"
0,3.18064451028652,0.993,0.363,0,"2","Olig1"
0,2.76423803469384,0.929,0.389,0,"2","Sox8"
0,2.82411085570279,0.917,0.428,0,"2","Ddr1"
0,2.87732614020644,0.987,0.563,0,"2","Gprc5b"
0,2.1779319954508,0.783,0.397,0,"2","Ephb1"
0,2.10358668451124,0.93,0.547,0,"2","Grm3"
0,1.89834778308541,0.615,0.244,0,"2","Gramd3"
0,1.93783091553697,0.921,0.55,0,"2","Tyro3"
0,2.4563898953499,0.833,0.471,0,"2","Sema4d"
0,0.724853602964986,0.659,0.35,0,"2","Erbb4"
0,2.18734069779001,0.83,0.524,0,"2","Tjap1"
0,0.895621111576419,0.483,0.312,0,"2","Gfap"
0,0.944494770931572,0.752,0.586,0,"2","Adora1"
0,0.326560125502271,0.649,0.626,0,"2","Grm7"
0,0.638053929075138,0.739,0.743,0,"2","Insr"
0,0.723418248555515,0.666,0.665,0,"2","Ryk"
0,3.12606829619864,0.773,0.129,0,"3","Sstr2"
0,2.36789261890694,0.848,0.224,0,"3","Sstr4"
0,1.35016254659676,0.954,0.399,0,"3","Chrm1"
0,1.46781039141263,0.989,0.511,0,"3","Baiap2"
0,1.58633593900047,0.831,0.354,0,"3","Chrm3"
0,2.50735605626396,0.572,0.104,0,"3","Htr1f"
0,2.23782363843178,0.997,0.536,0,"3","Slc17a7"
0,1.06587334737934,0.88,0.42,0,"3","Epha7"
0,1.1008325378292,0.9,0.444,0,"3","Adgra1"
0,1.16869353634333,0.796,0.353,0,"3","Gpr22"
0,1.80182944150454,0.598,0.163,0,"3","Cckbr"
0,0.991990308442237,0.728,0.297,0,"3","Gpr26"
0,1.84189727698706,0.932,0.516,0,"3","Ephb6"
0,0.983471888563207,0.897,0.505,0,"3","Adgrl2"
0,0.814472329974027,0.8,0.414,0,"3","Gpr85"
0,0.712820989357034,0.93,0.55,0,"3","Tyro3"
0,1.03432657382326,0.546,0.173,0,"3","Chrm4"
0,0.84779997167097,0.976,0.603,0,"3","Syt4"
0,0.75773994120499,0.961,0.588,0,"3","Grin2b"
0,0.609003857601403,0.783,0.426,0,"3","Adrb1"
0,0.382430584172768,0.711,0.354,0,"3","Anxa11"
0,0.51554575830533,0.933,0.577,0,"3","Grm5"
0,0.537929687589101,0.823,0.474,0,"3","Ackr1"
