"cluster","preliminary_identity"
0,"Excitatory neurons"
1,"Neuronal subtype, likely inhibitory"
2,"Oligodendrocytes"
3,"Excitatory neurons"
4,"Astrocytes"
5,"Endothelial cells"
6,"Excitatory neurons"
7,"GABAergic/inhibitory neurons"
8,"OPC / oligodendrocyte precursor cells"
9,"Striatal medium spiny neurons"
10,"Microglia"
11,"Pericytes / mural cells"
12,"Astrocytes"
13,"Vascular smooth muscle / mural cells"
14,"Cholinergic neurons"
15,"Oligodendrocytes"
16,"GABAergic/inhibitory neurons"
17,"Neuronal subtype"
18,"Neuronal subtype"
19,"Oligodendrocyte lineage"
