"cell","center_x","center_y"
"cell1",638.564039917663,-4594.21644444019
"cell2",593.803438756615,-4516.24044241756
"cell3",597.313438847661,-4566.67644372582
"cell4",613.24343926087,-4609.49844483659
"cell5",609.193439155817,-4603.1804446727
"cell6",623.88143953681,-4642.70844569802
"cell7",597.907438863069,-4547.77644323558
"cell8",552.145681738853,-4320.90167302638
"cell9",607.765683181584,-4388.45567477867
"cell10",624.937683627009,-4407.73367527872
"cell11",567.805682145059,-4385.59367470443
"cell12",610.573683254421,-4349.35967376456
"cell13",622.129683554173,-4312.58567281067
"cell14",589.94568271935,-4395.15167495236
"cell15",587.191682647914,-4475.17967702821
"cell16",586.705682635307,-4403.52167516947
"cell17",584.221682570875,-4320.46967301518
"cell18",560.839681964368,-4342.44767358527
"cell19",588.217682674527,-4489.5976774022
"cell20",631.7956838049,-4381.75967460498
"cell21",623.965683601797,-4422.58367566392
"cell22",628.01568370685,-4416.48167550564
"cell23",586.813682638109,-4344.7156736441
"cell24",612.193683296442,-4438.08167606592
"cell25",574.933682329953,-4408.81367530674
"cell26",559.340641289949,-4094.58454540372
"cell27",527.102640453726,-4101.65854558721
"cell28",536.228640690446,-4271.27254998684
"cell29",523.862640369684,-4216.19254855812
"cell30",520.56864028424,-4169.2665473409
"cell31",632.024643175304,-4127.90254626796
"cell32",539.846640784293,-4187.68054781854
"cell33",550.754641067237,-4228.50454887748
"cell34",570.896641589701,-4223.05054873601
"cell35",521.864640317857,-4179.20254759863
"cell36",593.252642169595,-4211.60254843906
"cell37",568.52064152807,-4249.67254942656
"cell38",557.180641233921,-4209.06454837322
"cell39",530.882640551776,-4238.1165491268
"cell40",530.288640536368,-4228.28854887187
"cell41",535.634640675038,-4257.34054962546
"cell42",584.50464194268,-4108.5705457665
"cell43",533.582640621811,-4246.16254933551
"cell44",559.39464129135,-4232.23054897413
"cell45",626.236921198666,-4008.83481791988
"cell46",536.542918872088,-3954.61881651357
"cell47",628.07292124629,-3957.75081659481
"cell48",519.316918425262,-4036.69881864265
"cell49",650.369521824643,-3883.87881467864
"cell50",510.892918206751,-4008.07881790027
"cell51",614.950920905918,-4024.87281833589
"cell52",648.479521775618,-3945.43881627545
"cell53",527.416918635368,-4062.29481930658
"cell54",492.370917726308,-3953.37681648135
"cell55",605.446920659393,-4033.78281856701
"cell56",555.658919367939,-3996.63081760332
"cell57",543.886919062585,-4060.99881927297
"cell58",516.184918344021,-3997.33281762153
"cell59",571.564078103751,-3702.22703783214
"cell60",595.378078721464,-3855.69504181296
"cell61",615.358079239726,-3801.74904041365
"cell62",600.562078855932,-3756.98303925246
"cell63",508.060076456517,-3856.99104184657
"cell64",577.882078267634,-3796.45704027638
"cell65",601.480078879744,-3680.89703727886
"cell66",623.944079462439,-3816.97704080865
"cell67",594.730078704655,-3802.66704043746
"cell68",579.340078305453,-3828.10104109719
"cell69",541.594077326357,-3797.32104029879
"cell70",575.614078208804,-3746.39903897792
"cell71",507.466076441109,-3771.56303963065
"cell72",608.662079066038,-3772.53503965586
"cell73",500.554076261818,-3743.26703889668
"cell74",655.960680292919,-3831.23304117844
"cell75",550.342077553272,-3700.98503779992
"cell76",651.160080168396,-3723.44903838262
"cell77",557.902077749372,-3800.93904039264
"cell78",525.664076913148,-3760.97903935611
"cell79",630.046079620719,-3744.5630389303
"cell80",654.718680260703,-3703.03703785315
"cell81",501.094076275826,-3727.22903848067
"cell82",510.328076515347,-3843.32904149219
"cell83",560.81807782501,-3704.17103788257
"cell84",605.638078987598,-3822.86304096133
"cell85",659.254680378363,-3722.153038349
"cell86",593.920078683645,-3843.4910414964
"cell87",589.492078568786,-3794.40504022315
"cell88",503.146076329053,-3735.92303870618
"cell89",571.996078114957,-3803.63904046267
"cell90",581.824078369886,-3806.71704054251
"cell91",496.396076153964,-3769.18703956902
"cell92",525.340076904744,-3702.17303783074
"cell93",595.216078717262,-3879.23904242367
"cell94",575.700482390821,-3502.90658866242
"cell95",573.756482340395,-3679.75659324974
"cell96",587.202482689172,-3628.07859190926
"cell97",519.486480932683,-3503.60858868062
"cell98",608.154483232647,-3623.11059178039
"cell99",485.142480041832,-3496.64258849993
"cell100",487.30248009786,-3551.12858991325
"cell101",546.216481626034,-3513.65258894116
"cell102",541.518481504172,-3567.27459033206
"cell103",569.598482232541,-3655.07859260961
"cell104",596.112482920289,-3602.21259123832
"cell105",488.544480130076,-3599.45859116688
"cell106",636.50448396802,-3657.67059267685
"cell107",655.782484468073,-3615.9825915955
"cell108",634.560483917594,-3557.71659008414
"cell109",593.682482857257,-3501.3945886232
"cell110",530.070481207222,-3581.31459069624
"cell111",546.594481635839,-3641.03859224543
"cell112",625.218483675271,-3525.10058923811
"cell113",547.566481661052,-3601.67259122431
"cell114",498.588480390608,-3638.4465921782
"cell115",495.510480310768,-3617.27859162912
"cell116",552.264481782913,-3563.49459023401
"cell117",638.502484019846,-3508.73858881369
"cell118",563.820482082665,-3669.87459299341
"cell119",661.069084605202,-3602.96859125793
"cell120",557.124481908977,-3667.22859292477
"cell121",601.566483061761,-3573.26859048754
"cell122",542.004481516778,-3619.33059168234
"cell123",659.611084567383,-3640.66059223562
"cell124",488.976480141282,-3584.82459078729
"cell125",636.450483966619,-3567.16659032926
"cell126",638.772484026849,-3530.06858936697
"cell127",599.892483018339,-3557.55459007993
"cell128",575.700482390821,-3546.48458979279
"cell129",481.95647995919,-3517.59458904341
"cell130",487.194494131953,-3456.34348916262
"cell131",536.712495416403,-3285.21748472378
"cell132",617.118497502059,-3332.3594859466
"cell133",597.192496985197,-3298.55548506975
"cell134",501.180494494736,-3449.43148898333
"cell135",486.438494112343,-3433.06948855892
"cell136",655.998498510569,-3439.4414887242
"cell137",555.720495909452,-3297.42148504034
"cell138",646.602498266846,-3473.73148961365
"cell139",529.746495235711,-3485.1254899092
"cell140",659.13049859181,-3378.1514871344
"cell141",653.082498434931,-3307.14148529246
"cell142",647.736498296261,-3442.30348879844
"cell143",648.330498311669,-3325.77148577571
"cell144",516.462494891137,-3369.94348692149
"cell145",641.310498129576,-3355.5254865475
"cell146",533.094495322555,-3361.03348669037
"cell147",531.15049527213,-3347.641486343
"cell148",540.168495506048,-3299.04148508236
"cell149",657.024498537183,-3302.87548518181
"cell150",660.156498618424,-3421.94548827037
"cell151",576.510496448725,-3313.62148546055
"cell152",621.492497615516,-3345.53548628837
"cell153",556.044495917857,-3459.74548925087
"cell154",532.608495309949,-3314.53948548436
"cell155",590.496496811509,-3282.03148464113
"cell156",491.298494238406,-3404.23348781094
"cell157",662.370498675853,-3408.01348790899
"cell158",636.297122161835,-3110.56957525387
"cell159",665.56512292102,-3264.14557923749
"cell160",642.885122332722,-3155.28157641366
"cell161",575.871120594442,-3090.42757473141
"cell162",615.021121609956,-3147.18157620355
"cell163",616.695121653378,-3271.21957942098
"cell164",595.581121105701,-3247.99957881868
"cell165",546.117119822651,-3135.89557591081
"cell166",542.067119717598,-3177.25957698375
"cell167",582.999120779335,-3130.00957575813
"cell168",637.161122184247,-3169.59157678485
"cell169",529.971119403839,-3211.1715778634
"cell170",635.811122149229,-3234.2835784629
"cell171",627.279121927917,-3167.70157673582
"cell172",546.06311982125,-3233.63557844609
"cell173",569.823120437562,-3218.40757805109
"cell174",532.239119462669,-3190.86757733673
"cell175",645.477122399956,-3140.70157603547
"cell176",552.651119992137,-3234.5535784699
"cell177",539.475119650364,-3166.72957671061
"cell178",633.165122080594,-3186.38557722047
"cell179",570.75407641381,-2902.60271963105
"cell180",649.054078444839,-2909.35271980613
"cell181",613.144077513367,-2968.32072133571
"cell182",587.440076846629,-3035.7667230852
"cell183",585.1720767878,-3027.01872285828
"cell184",660.55607874319,-3014.05872252211
"cell185",612.064077485353,-3027.77472287789
"cell186",625.186077825725,-3054.88272358105
"cell187",565.192076269537,-2986.08672179654
"cell188",606.016077328473,-3071.94672402367
"cell189",589.546076901257,-3057.20472364128
"cell190",646.354078374803,-3004.12272226438
"cell191",624.484077807516,-2901.90071961284
"cell192",596.350077077746,-2984.89872176573
"cell193",578.584076616913,-2930.08872034401
"cell194",624.663366504014,-2831.10980113596
"cell195",670.83336770162,-2739.03979874775
"cell196",615.321366261691,-2857.0838018097
"cell197",620.55936639756,-2877.81980234757
"cell198",656.847367338836,-2773.8157996498
"cell199",856.280163306743,-2250.51256924495
"cell200",847.856163088232,-2259.20656947047
"cell201",850.843438189477,-2431.80030114576
"cell202",797.221436798573,-2401.56030036137
"cell203",826.543437559158,-2321.10029827431
"cell204",889.070039181039,-2339.94629876316
"cell205",785.125436484814,-2440.33230136707
"cell206",837.235437836498,-2364.94829941168
"cell207",838.693437874317,-2287.78229741007
"cell208",885.025439076126,-2343.564298857
"cell209",792.577436678112,-2421.48630087823
"cell210",833.401437737048,-2415.06030071154
"cell211",837.3434378393,-2408.25630053505
"cell212",847.603438105434,-2391.94830011204
"cell213",848.003014411777,-2558.68643984199
"cell214",814.361013539135,-2546.75243953243
"cell215",773.969012491405,-2614.30644128472
"cell216",854.483014579862,-2514.352438692
"cell217",839.03901417926,-2671.60044277087
"cell218",764.033012233675,-2553.01643969491
"cell219",805.289013303816,-2659.28844245151
"cell220",864.419014837593,-2678.89044295996
"cell221",862.961014799774,-2628.0224416405
"cell222",760.955012153834,-2603.56044100598
"cell223",839.471014190465,-2644.54644206911
"cell224",857.885014668107,-2488.75643802807
"cell225",870.251014988869,-2635.31244182959
"cell226",827.753013886511,-2500.63643833622
"cell227",829.427013929933,-2566.67844004929
"cell228",870.791015002877,-2603.99244101718
"cell229",791.789012953639,-2562.08843993023
"cell230",875.65101512894,-2531.95643914863
"cell231",718.133011043072,-2649.13644218817
"cell232",843.845014303923,-2568.73044010252
"cell233",861.287014756352,-2653.61844230443
"cell234",684.383010167629,-2681.96304303966
"cell235",876.821776509285,-2843.79122716933
"cell236",680.207771409303,-2766.03122515231
"cell237",716.711772356182,-2757.1212249212
"cell238",841.775775600225,-2758.52522495762
"cell239",796.091774415225,-2843.89922717214
"cell240",729.887772697955,-2723.31722404435
"cell241",751.001773245633,-2720.56322397292
"cell242",738.311772916466,-2764.6272251159
"cell243",772.223773796111,-2802.21122609079
"cell244",811.859774824232,-2739.40922446176
"cell245",852.251775871962,-2869.11722782627
"cell246",812.45377483964,-2809.28522627428
"cell247",855.92377596721,-2712.19322375581
"cell248",849.443775799125,-2743.24322456121
"cell249",703.319772008806,-2746.32122464105
"cell250",821.255775067955,-2844.65522719175
"cell251",828.707775261253,-2681.84522296861
"cell252",699.431771907955,-2863.33922767639
"cell253",812.939774852246,-2796.64922594652
"cell254",756.455773387104,-2713.21922378242
"cell255",739.013772934675,-2752.47722480074
"cell256",708.755418755114,-3015.31025958806
"cell257",825.449421782047,-3004.02425929531
"cell258",779.441420588642,-2917.89425706118
"cell259",773.717420440167,-3055.9722606428
"cell260",722.741419117898,-3083.62026135996
"cell261",773.231420427561,-2969.68025840446
"cell262",719.555419035256,-2986.90625885129
"cell263",688.66741823405,-2905.15025673062
"cell264",836.789422076195,-2955.20825802907
"cell265",861.737422723323,-3086.90886144526
"cell266",763.24142016843,-2934.85025750101
"cell267",751.361419860274,-3023.57225980237
"cell268",747.31141975522,-2988.52625889331
"cell269",785.273420739919,-3001.16225922108
"cell270",753.143419906497,-2905.90625675023
"cell271",850.343422427773,-3028.16225992143
"cell272",693.95941837132,-2954.45225800946
"cell273",840.677422177047,-2911.9542569071
"cell274",762.701420154423,-2971.51625845209
"cell275",750.281419832259,-2967.73625835404
"cell276",805.199421256781,-2922.05225716904
"cell277",720.095419049263,-3048.3042604439
"cell278",757.463420018554,-2916.76025703177
"cell279",796.829421039671,-2971.30025844648
"cell280",690.341418277472,-3009.96425944939
"cell281",815.83742153272,-2930.85425739735
"cell282",785.543420746922,-3050.46426049992
"cell283",667.990817697719,-2980.53425868601
"cell284",778.52342056483,-3038.47626018897
"cell285",781.385420639068,-3087.39486145787
"cell286",741.96541961655,-3062.18226080388
"cell287",739.481419552118,-3035.61426011473
"cell288",730.571419321001,-2909.68625684828
"cell289",668.903417721391,-3048.4122604467
"cell290",806.387421287596,-2990.95625895634
"cell291",874.746023060754,-2990.68625894934
"cell292",713.453418876976,-2912.65625692531
"cell293",823.45142173022,-2958.28625810891
"cell294",789.971420861781,-2918.27225707099
"cell295",684.671418130398,-3044.52426034585
"cell296",807.899421326816,-3077.62626120448
"cell297",836.627422071993,-2932.47425743937
"cell298",756.815420001745,-2957.85425809771
"cell299",748.499419786036,-2917.51625705138
"cell300",776.525420513004,-3064.39626086131
"cell301",781.817420650274,-3071.4162610434
"cell302",832.955421976745,-2963.41625824198
"cell303",700.331418536603,-2917.73225705698
"cell304",823.45142173022,-2900.23625660315
"cell305",829.607421889901,-3051.54426052794
"cell306",863.195422761142,-2933.44625746459
"cell307",794.237420972437,-2941.38425767049
"cell308",781.601420644671,-2972.5422584787
"cell309",762.701420154423,-3090.25686153211
"cell310",830.201421905309,-2901.85625664517
"cell311",688.829418238252,-3065.58426089212
"cell312",815.675421528518,-2984.09825877845
"cell313",824.261421751231,-2970.70625843108
"cell314",695.309418406337,-2985.98825882748
"cell315",810.923421405256,-2878.3176560346
"cell316",808.817421350628,-3032.37426003069
"cell317",728.195419259369,-3001.16225922108
"cell318",770.35754692182,-3261.8398427777
"cell319",762.04154670611,-3261.46184276789
"cell320",755.453546535224,-3188.88584088534
"cell321",726.941545795649,-3099.19183855876
"cell322",826.193548370153,-3247.42184240371
"cell323",820.63154822588,-3102.97183865681
"cell324",688.223544791341,-3262.2718427889
"cell325",781.481547210366,-3220.74584171176
"cell326",726.779545791447,-3206.16584133357
"cell327",724.025545720011,-3220.90784171596
"cell328",751.511546432972,-3209.72984142601
"cell329",734.177545983344,-3231.7618419975
