"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.8013336484227,0.403,0.097,0,"0","Mas1"
0,2.58347068164896,0.518,0.112,0,"0","Adra1d"
0,2.20005073243227,0.554,0.161,0,"0","Crhr1"
0,2.05231540598847,0.587,0.219,0,"0","Grm2"
0,2.02092605932335,0.783,0.322,0,"0","Anxa11"
0,1.99969050547682,0.935,0.37,0,"0","Chrm1"
0,1.79895837610969,0.995,0.51,0,"0","Slc17a7"
0,1.78565698099668,0.726,0.34,0,"0","Gpr22"
0,1.74850607302474,0.367,0.126,0,"0","Npy1r"
0,1.69160210388919,0.95,0.621,0,"0","Epha4"
0,5.04636362639808,0.452,0.03,0,"1","Gpr101"
0,4.87149960724835,0.493,0.11,0,"1","Dlk1"
0,4.83391607412172,0.378,0.022,0,"1","Chrm5"
0,4.71675836530109,0.263,0.017,0,"1","Galr1"
0,4.29454818846918,0.294,0.019,0,"1","Dgkk"
0,3.62850973325868,0.723,0.24,0,"1","Peg10"
0,3.30386564222833,0.289,0.036,0,"1","Trhr"
0,2.96478403002624,0.29,0.051,0,"1","Tacr1"
0,2.73493874121814,0.324,0.07,0,"1","Npy2r"
0,2.40453709496308,0.474,0.09,0,"1","Oprk1"
0,4.24574153827495,0.843,0.086,0,"2","S1pr5"
0,4.08544774104642,0.847,0.099,0,"2","Erbb3"
0,3.93451449795192,0.997,0.238,0,"2","Gjc3"
0,3.91302575469592,0.847,0.168,0,"2","Gpr62"
0,3.86350674224724,0.799,0.102,0,"2","Plxnb3"
0,3.56161697006874,0.829,0.16,0,"2","Lpar1"
0,3.40256555679635,0.903,0.232,0,"2","Fgfr2"
0,3.18064451028652,0.993,0.363,0,"2","Olig1"
0,2.87732614020644,0.987,0.563,0,"2","Gprc5b"
0,2.82411085570279,0.917,0.428,0,"2","Ddr1"
0,3.85452247699765,0.313,0.028,0,"3","Rxfp1"
0,3.12606829619864,0.773,0.129,0,"3","Sstr2"
0,2.50735605626396,0.572,0.104,0,"3","Htr1f"
0,2.36789261890694,0.848,0.224,0,"3","Sstr4"
0,2.23782363843178,0.997,0.536,0,"3","Slc17a7"
0,2.03898799016091,0.335,0.06,0,"3","Vipr1"
0,1.84189727698706,0.932,0.516,0,"3","Ephb6"
